S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -75.0, 0.0 ]Angle: 0.5235988 Trans: -75.0
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -75.0, 0.0 ]Angle: 0.5235988 Trans: -75.0
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -63.75, 0.0 ]Angle: 1.0471976 Trans: -63.75
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -54.187504, 0.0 ]Angle: 2.0943952 Trans: -54.1875
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -54.187504, 0.0 ]Angle: 2.0943952 Trans: -54.1875
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -46.05938, 0.0 ]Angle: 4.1887903 Trans: -46.059376
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -46.05938, 0.0 ]Angle: 4.1887903 Trans: -46.059376
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -46.05938, 0.0 ]Angle: 4.1887903 Trans: -46.059376
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -46.05938, 0.0 ]Angle: 4.1887903 Trans: -46.059376
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -39.150475, 0.0 ]Angle: 8.377581 Trans: -39.15047
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -39.150475, 0.0 ]Angle: 8.377581 Trans: -39.15047
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -39.150475, 0.0 ]Angle: 8.377581 Trans: -39.15047
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -39.150475, 0.0 ]Angle: 8.377581 Trans: -39.15047
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -39.150475, 0.0 ]Angle: 8.377581 Trans: -39.15047
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -39.150475, 0.0 ]Angle: 8.377581 Trans: -39.15047
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -39.150475, 0.0 ]Angle: 8.377581 Trans: -39.15047
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -39.150475, 0.0 ]Angle: 8.377581 Trans: -39.15047
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -33.277905, 0.0 ]Angle: 16.755161 Trans: -33.2779
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -28.286219, 0.0 ]Angle: 33.510323 Trans: -28.286217
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
S: [ 0.0, 0.0, 0.0 ]E: [ 24.0, -63.0, 0.0 ]C1:  [ -20.0, -50.0, 0.0 ]C2: [ 0.0, -24.043287, 0.0 ]Angle: 67.020645 Trans: -24.043285
